DX DESCRIPTION,CUI
Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side,C2882637
"Other paralytic syndrome following other cerebrovascular disease, bilateral",C2882638
Other paralytic syndrome following other cerebrovascular disease affecting unspecified side,C2882639
Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side,C2882658
Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side,C2882659
Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side,C2882660
Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side,C2882661
Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side,C2882662
Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side,C2882664
Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side,C2882665
Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side,C2882666
Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side,C2882667
Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side,C2882668
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side,C2882670
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side,C2882671
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side,C2882672
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side,C2882673
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side,C2882674
Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side,C2882676
Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side,C2882677
Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side,C2882678
Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side,C2882679
"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral",C2882680
Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side,C2882681
Atherosclerosis of aorta,C0155733
Atherosclerosis of renal artery,C0155734
"Unspecified atherosclerosis of native arteries of extremities, right leg",C2882692
"Unspecified atherosclerosis of native arteries of extremities, left leg",C2882693
"Unspecified atherosclerosis of native arteries of extremities, bilateral legs",C2882694
"Unspecified atherosclerosis of native arteries of extremities, other extremity",C2882695
"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity",C2882696
"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg",C2882697
"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg",C2882698
"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs",C2882699
"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity",C2882700
"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity",C2882701
"Atherosclerosis of native arteries of extremities with rest pain, right leg",C2882704
"Atherosclerosis of native arteries of extremities with rest pain, left leg",C2882705
"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",C2882706
"Atherosclerosis of native arteries of extremities with rest pain, other extremity",C2882707
"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",C2882708
Atherosclerosis of native arteries of right leg with ulceration of thigh,C2882711
Atherosclerosis of native arteries of right leg with ulceration of thigh,C2882711
Atherosclerosis of native arteries of right leg with ulceration of calf,C2882712
Atherosclerosis of native arteries of right leg with ulceration of calf,C2882712
Atherosclerosis of native arteries of right leg with ulceration of ankle,C2882713
Atherosclerosis of native arteries of right leg with ulceration of ankle,C2882713
Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,C2882715
Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,C2882715
Atherosclerosis of native arteries of right leg with ulceration of other part of foot,C2882717
Atherosclerosis of native arteries of right leg with ulceration of other part of foot,C2882717
Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,C5140811
Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,C5140811
Atherosclerosis of native arteries of right leg with ulceration of unspecified site,C2882719
Atherosclerosis of native arteries of right leg with ulceration of unspecified site,C2882719
Atherosclerosis of native arteries of left leg with ulceration of thigh,C2882722
Atherosclerosis of native arteries of left leg with ulceration of thigh,C2882722
Atherosclerosis of native arteries of left leg with ulceration of calf,C2882723
Atherosclerosis of native arteries of left leg with ulceration of calf,C2882723
Atherosclerosis of native arteries of left leg with ulceration of ankle,C2882724
Atherosclerosis of native arteries of left leg with ulceration of ankle,C2882724
Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,C2882726
Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,C2882726
Atherosclerosis of native arteries of left leg with ulceration of other part of foot,C2882728
Atherosclerosis of native arteries of left leg with ulceration of other part of foot,C2882728
Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,C5140812
Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,C5140812
Atherosclerosis of native arteries of left leg with ulceration of unspecified site,C2882730
Atherosclerosis of native arteries of left leg with ulceration of unspecified site,C2882730
Atherosclerosis of native arteries of other extremities with ulceration,C2882732
Atherosclerosis of native arteries of other extremities with ulceration,C2882732
"Atherosclerosis of native arteries of extremities with gangrene, right leg",C2882734
"Atherosclerosis of native arteries of extremities with gangrene, left leg",C2882735
"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",C2882736
"Atherosclerosis of native arteries of extremities with gangrene, other extremity",C2882737
"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",C2882738
"Other atherosclerosis of native arteries of extremities, right leg",C2882739
"Other atherosclerosis of native arteries of extremities, left leg",C2882740
"Other atherosclerosis of native arteries of extremities, bilateral legs",C2882741
"Other atherosclerosis of native arteries of extremities, other extremity",C2882742
"Other atherosclerosis of native arteries of extremities, unspecified extremity",C2882743
"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",C2882746
"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",C2882747
"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",C2882748
"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",C2882749
"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",C2882750
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg",C2882752
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg",C2882753
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",C2882754
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity",C2882755
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",C2882756
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",C2882759
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",C2882760
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",C2882761
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",C2882762
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",C2882763
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,C2882766
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,C2882766
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,C2882767
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,C2882767
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,C2882768
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,C2882768
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882770
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882770
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,C2882772
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,C2882772
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882773
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882773
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,C2882774
Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,C2882774
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,C2882777
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,C2882777
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,C2882778
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,C2882778
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,C2882779
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,C2882779
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882781
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882781
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,C2882783
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,C2882783
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882784
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882784
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,C2882785
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,C2882785
Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,C2882787
Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,C2882787
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",C2882790
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",C2882791
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",C2882792
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",C2882793
"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",C2882794
"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",C2882796
"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",C2882797
"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",C2882798
"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",C2882799
"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",C2882800
"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",C2882802
"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",C2882803
"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",C2882804
"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",C2882805
"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",C2882806
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, right leg",C2882808
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, left leg",C2882809
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, bilateral legs",C2882810
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, other extremity",C2882811
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",C2882812
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg",C2882815
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",C2882816
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs",C2882817
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",C2882818
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity",C2882819
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,C2882822
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,C2882822
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf,C2882823
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf,C2882823
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,C2882824
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,C2882824
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882826
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882826
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,C2882828
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,C2882828
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882829
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882829
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site,C2882830
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site,C2882830
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,C2882833
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,C2882833
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,C2882834
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,C2882834
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,C2882835
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,C2882835
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882837
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882837
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot,C2882839
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot,C2882839
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882840
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882840
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site,C2882841
Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site,C2882841
Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,C2882843
Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,C2882843
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",C2882846
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",C2882847
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",C2882848
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",C2882849
"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity",C2882850
"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",C2882852
"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",C2882853
"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",C2882854
"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",C2882855
"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",C2882856
"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",C2882859
"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",C2882860
"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",C2882861
"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",C2882862
"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",C2882863
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, right leg",C2882865
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, left leg",C2882866
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",C2882867
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, other extremity",C2882868
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",C2882869
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, right leg",C2882872
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg",C2882873
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs",C2882874
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity",C2882875
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity",C2882876
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh,C2882879
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh,C2882879
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,C2882880
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,C2882880
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle,C2882881
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle,C2882881
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882883
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882883
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of foot,C2882885
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of foot,C2882885
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882886
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882886
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site,C2882887
Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site,C2882887
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh,C2882890
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh,C2882890
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf,C2882891
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf,C2882891
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle,C2882892
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle,C2882892
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882894
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882894
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot,C2882896
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot,C2882896
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882897
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882897
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site,C2882898
Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site,C2882898
Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration,C2882900
Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration,C2882900
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, right leg",C2882903
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg",C2882904
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs",C2882905
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity",C2882906
"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity",C2882907
"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg",C2882909
"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",C2882910
"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",C2882911
"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",C2882912
"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",C2882913
"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",C2882916
"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",C2882917
"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs",C2882918
"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",C2882919
"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity",C2882920
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, right leg",C2882922
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, left leg",C2882923
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",C2882924
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, other extremity",C2882925
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",C2882926
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg",C2882929
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, left leg",C2882930
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, bilateral legs",C2882931
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity",C2882932
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified extremity",C2882933
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh,C2882936
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh,C2882936
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf,C2882937
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf,C2882937
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle,C2882938
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle,C2882938
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882940
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882940
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot,C2882942
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot,C2882942
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882943
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg,C2882943
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site,C2882944
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site,C2882944
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh,C2882947
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh,C2882947
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf,C2882948
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf,C2882948
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle,C2882949
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle,C2882949
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882951
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and midfoot,C2882951
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of foot,C2882953
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of foot,C2882953
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882954
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg,C2882954
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site,C2882955
Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site,C2882955
Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration,C2882957
Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration,C2882957
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg",C2882960
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg",C2882961
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, bilateral legs",C2882962
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity",C2882963
"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified extremity",C2882964
"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",C2882966
"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",C2882967
"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs",C2882968
"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",C2882969
"Other atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity",C2882970
"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, right leg",C2882973
"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, left leg",C2882974
"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, bilateral legs",C2882975
"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, other extremity",C2882976
"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",C2882977
"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, right leg",C2882979
"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, left leg",C2882980
"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",C2882981
"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, other extremity",C2882982
"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",C2882983
"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, right leg",C2882986
"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, left leg",C2882987
"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, bilateral legs",C2882988
"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, other extremity",C2882989
"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, unspecified extremity",C2882990
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh,C2882993
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh,C2882993
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf,C2882994
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf,C2882994
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle,C2882995
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle,C2882995
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882997
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot,C2882997
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot,C2882999
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot,C2882999
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg,C2883000
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg,C2883000
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,C2883001
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,C2883001
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,C2883004
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,C2883004
Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf,C2883005
